1781291644570,1,5687,-1975,-2264,12,0.0,0.0
1781291644570,2,3417,-4340,-816,18,-2.7915,-2.7915
1781291644677,1,5688,-1919,-2258,43,1.2916,1.2916
1781291644677,2,3415,-4341,-815,18,-2.7915,-2.7915
1781291644713,1,5689,-1915,-2257,43,1.2916,1.2916
1781291644713,2,3413,-4342,-815,18,-2.7915,-2.7915
1781291644725,1,5691,-1910,-2256,43,1.2916,1.2916
1781291644725,2,3411,-4342,-815,18,-2.7915,-2.7915
1781291644725,3,7625,-1126,-1975,0,-0.6435,-0.6435
1781291644725,4,2404,-1982,-1364,215,0.7511,0.7511
1781291644734,1,5692,-1906,-2255,43,1.2916,1.2916
1781291644734,2,3410,-4343,-815,18,-2.7915,-2.7915
1781291644734,3,7625,-1126,-1975,0,-0.6435,-0.6435
1781291644734,4,2534,-1904,-1412,311,0.6734,0.6734
1781291644836,1,5693,-1902,-2254,43,1.2916,1.2916
1781291644836,2,3314,-4243,-1943,160,2.4312,2.4312
1781291644836,3,7625,-1126,-1974,0,-0.6435,-0.6435
1781291644836,4,2559,-1885,-1411,311,0.6734,0.6734
1781291644862,1,5694,-1898,-2253,43,1.2916,1.2916
1781291644862,2,3302,-4233,-2068,160,2.4312,2.4312
1781291644862,3,7625,-1126,-1974,0,-0.6435,-0.6435
1781291644862,4,2583,-1866,-1409,311,0.6734,0.6734
1781291644874,1,5695,-1894,-2252,43,1.2916,1.2916
1781291644874,2,4099,-4294,-1242,980,0.0077,0.0077
1781291644874,3,7625,-1126,-1973,0,-0.6435,-0.6435
1781291644874,4,2607,-1846,-1408,311,0.6734,0.6734
1781291644883,1,5697,-1890,-2251,43,1.2916,1.2916
1781291644883,2,4197,-4293,-1237,980,0.0077,0.0077
1781291644883,3,7625,-1126,-1973,0,-0.6435,-0.6435
1781291644883,4,2632,-1827,-1407,311,0.6734,0.6734
1781291644993,1,5698,-1885,-2250,43,1.2916,1.2916
1781291644993,2,4295,-4292,-1233,980,0.0077,0.0077
1781291644993,3,7625,-1126,-1972,0,-0.6435,-0.6435
1781291644993,4,2656,-1807,-1406,311,0.6734,0.6734
1781291645020,2,4393,-4291,-1228,980,0.0077,0.0077
1781291645020,3,7625,-1126,-1972,0,-0.6435,-0.6435
1781291645020,4,2680,-1788,-1405,311,0.6734,0.6734
1781291645030,2,4491,-4291,-1223,980,0.0077,0.0077
1781291645030,3,7625,-1126,-1971,0,-0.6435,-0.6435
1781291645030,4,2705,-1768,-1403,311,0.6734,0.6734
1781291645039,2,3509,-4195,-2009,318,2.7551,2.7551
1781291645039,4,4302,-1657,-2176,1830,0.1564,0.1564
